"EDR127835","&#12296;:ad perpendiculum&#12297;<br>F&#803;l&#803;or&#803;u&#803;(s)"
"EDR127843","SS B VIP&#803;"
"EDR127154","Quartio <br>Stratus <br>ven<br>Quenit&#7909;(s) (:Quintus) <br>M(arcus) Liciniu(s) <br>Saturninus <br><br>"
"EDR127414","L(ucius) · Lollius procûr(ator)"
"EDR127575","&#12296;:ad perpendiculum&#12297; <br>C(aius) Lucia&#770;n&#770;us"
"EDR127151","MO"
"EDR127212","Evanthus"
"EDR127242","Lucilius <br>Lucidae suae <br>ubique sal(utem)"
"EDR127430","X"
"EDR127572","quicomq(ue) (:quicumque)"
"EDR127574","Lepidi"
"EDR127576","Magistri"
"EDR128046","Coliatius "
"EDR128047","Lucilius"
"EDR128114","&#12296;:stria 14&#12297;<br>Ocea<br><br>&#12296;:stria 16&#12297;<br>Ocea[n]o"
"EDR127149","Summachus (:Symmachus)"
"EDR127404","LXIIII"
"EDR127415","&#12296;:stria 8&#12297;<br>X<br><br>&#12296;:stria 11&#12297;<br>G<br>G"
"EDR127418","&#12296;:stria 10&#12297;<br>QV   <br><br>&#12296;:striae 12-13&#12297;<br>QVAD<br>"
"EDR127848","Fel(iciter) Faustio"
"EDR127850","Fautio (:Faustio?)"
"EDR128048","Lucilius<br>Lucidae suae<br>ub&#803;ique sal(utem)"
"EDR128050","ic (:hic) abitamus (:habitamus)<br>felices<br>nos<br>dii<br>faciant"
"EDR128279","LICA ((:tridens?))<br>"
"EDR127213","Geganius<br>Romulus<br>aedilis<br>ivenalium (:iuvenalium)"
"EDR127425","&#12296;:ad perpendiculum&#12297;<br>Cinn(amus?)"
"EDR127231","Inop(s) <br>C(aius) · Iunius <br>"
"EDR127233","Mille meae<br>Siculis errant <br>"
"EDR127237","((:caput hominis ad sin.))"
"EDR127368","((:corona)) ((:palma))<br>Chloe va(le)"
"EDR127399","Ic (:hic) sumus <br>felices <br>valiamus (:valeamus)  <br>recte "
"EDR127573","Leon"
"EDR127578","((centuria)) Tironis&#818;"
"EDR127806","Va&#818;l&#818;(ens?)"
"EDR127808","T&#803;(itus) I&#803;r&#803;r&#803;i&#803;u&#803;s&#803; "
"EDR128116","++++<br>Chloe v&#770;&#818;a&#818;(le)"
"EDR127192","L<br>ped(es?)"
"EDR127298","A(uli) Pos=<br>stu=<br>mi (:Postumi)<br>Qui=<br>cti"
"EDR127577","Postu&#803;(mi)"
"EDR127579","((centuria)) Semproni"
"EDR127969","fel(iciter) Faustio"
"EDR128013","Urbanu&#770;s"
"EDR128014","Ur(banus?)"
"EDR128049","&#12296;:columna I, stria 4&#12297;<br>Leon<br>Leon<br>Leon<br><br>&#12296;:columna II, stria 5&#12297;<br>L&#818;e&#818;o&#818;n&#818;"
"EDR128052","Q(uintus) Caeicilius (:Caecilius)<br>Q(uintus) Cae(cilius)<br>L(ucius) Cae&#803;(cilius)"
"EDR128056","Primus"
"EDR128057","Mat=<br>rn=<br>a&#803; (:Matrona) v&#770;a(le)"
"EDR128058","Fu=<br>l(vius?)"
"EDR127823","Sautran(e)<br>v&#770;a(le)"
"EDR127842","[Pro]culus"
"EDR128053","Lucilius"
"EDR128059","Voconius<br>Paca(tus)<br>vixillu(m) (:vexillum)"
"EDR128062","Urbanus<br>hc (:hic) lus (:lusit) VI Idus<br>decemrias (:decembres)"
"EDR128097","Militibus ub(ique salutem?)"
"EDR128098","&#12296;:vacat&#12297;&#7746;o&#7693;(estus)<br>Modestus<br>Modestus<br>Musae<br>suae"
"EDR127152","Pacatus <br>hic cum suis <br>masit (:mansit) Pompeis "
"EDR128276","Licaria (:Ligaria) "
"EDR128545","hinc<br>hinc<br>p(edibus?) XII (de)t(ractis) VII<br>V"
"EDR128558","M(arcus) X Felix et Fortun(a)tus ego et tu<br>sua"
